lambda,dial,s_dial,,V stop (V),Dial Reading,V stop(V),Dial Reading
579.05,3.625,0.005,,-0.475,0,-0.629,0
579.96,3.695,0.005,,-0.448,0.5,-0.504,0.5
546.07,4.82,0.005,,-0.42,1,-0.45,1
491.6,6.785,0.005,,-0.483,1.5,-0.488,1.5
435.84,8.79,0.005,,-0.527,2,-0.539,2
434.75,9.37,0.005,,-0.574,2.5,-0.585,2.5
433.92,9.52,0.005,,-0.618,3,-0.63,3
407.78,9.785,0.005,,-0.665,3.5,-0.675,3.5
404.66,9.9,0.005,,-0.713,4,-0.725,4
,,,,-0.762,4.5,-0.776,4.5
,,,,-0.817,5,-0.83,5
,,,,-0.874,5.5,-0.889,5.5
,,,,-0.936,6,-0.952,6
,,,,-0.997,6.5,-1.018,6.5
,,,,-1.064,7,-1.089,7
,,,,-1.135,7.5,-1.163,7.5
,,,,-1.212,8,-1.243,8
,,,,-1.288,8.5,-1.325,8.5
,,,,-1.372,9,-1.41,9
,,,,-1.468,9.5,-1.495,9.5
,,,,-1.556,10,-1.595,10