Height for time measurements = 500.22 +- 0.01 mm,,,,,,,,
Nylon Ball Times,Steel Ball Times,,,,Height,error,Nylon Time (s),Steel Time (s)
0.29535,0.29446,,,,1000.28,0.02,0.42637,0.42432
0.29532,0.29463,,,,900.54,0.02,0.40392,0.40201
0.29556,0.29457,,,,800.2,0.02,0.37992,0.3782
0.29572,0.29461,,,,700.7,0.02,0.35379,0.35057
0.29537,0.29454,,,,600.48,0.02,0.32471,0.3237
0.29537,0.29461,,,,500.28,0.02,0.29412,0.29352
0.29532,0.29456,,,,450.26,0.02,0.27828,0.2772
0.29531,0.29478,,,,400.4,0.02,0.26165,0.26037
0.29527,0.29436,,,,350.22,0.02,0.24262,0.24218
0.29533,0.29443,,,,300.34,0.02,0.22325,0.22264
,,,,,250.32,0.02,0.20382,0.20294
,,,,,200.42,0.02,0.18092,0.18014
,,,,,170.02,0.02,0.16563,0.16473
,,,,,150.42,0.02,0.15475,0.15419
,,,,,130.12,0.02,0.1437,0.14271
,,,,,110.48,0.02,0.13154,0.13067
,,,,,90.42,0.02,0.11823,0.11733
,,,,,70.4,0.02,0.10347,0.10265
,,,,,50.26,0.02,0.08705,0.08687
,,,,,30.08,0.02,0.06734,0.0668
,,,,,9.38,0.02,0.04223,0.04165
,,,,,10.1,0.02,0.04308,0.04259
,,,,,30.08,0.02,0.06783,0.06686
,,,,,50.26,0.02,0.08635,0.08424
,,,,,70.22,0.02,0.10307,0.10204
,,,,,90.2,0.02,0.11806,0.11713
,,,,,110.48,0.02,0.13126,0.13009
,,,,,130.16,0.02,0.14302,0.14217
,,,,,150.18,0.02,0.15458,0.15365
,,,,,170.3,0.02,0.16542,0.16448
,,,,,200.38,0.02,0.18067,0.17958
,,,,,250.3,0.02,0.20364,0.20262
,,,,,300.14,0.02,0.22465,0.22352
,,,,,350.28,0.02,0.24402,0.24296
,,,,,400.32,0.02,0.26229,0.26104
,,,,,450.42,0.02,0.27928,0.27806
,,,,,500.66,0.02,0.29578,0.2943
,,,,,600.36,0.02,0.32564,0.32434
,,,,,700.42,0.02,0.3536,0.35209
,,,,,800.2,0.02,0.38021,0.37789
,,,,,900.62,0.02,0.40472,0.40235
,,,,,1000.42,0.02,0.42775,0.42535